FeedbackID,ProductID,CustomerID,FeedbackScore,FeedbackDate
1,1,1,4.5,05-05-23
2,2,2,3.8,06-04-23
3,3,3,4.2,07-04-23
,4,4,four-comma-seven,eleven March 2023
5,5,5,4.0,09-04-23
6,6,6,4.1,10-04-23
7,7,7,3.7,11-04-23
8,8,8,3.2,12-04-23
,9,9,3.9,13-04-23
10,10,10,4.5,14-04-23
11,11,11,4.2,16-04-23
12,12,12,3.8,16-04-23
13,13,13,4.0,17-04-23
14,14,14,4.4,18-04-23
15,15,15,4.2,19-04-23
16,16,16,4.1,20-04-23
17,17,17,4.3,21-04-23
18,18,18,3.9,22-04-23
19,19,19,4.5,23-04-23
20,20,20,4.0,24-04-23
21,21,21,3.8,25-04-23
22,22,22,4.2,26-04-23
23,23,23,3.7,27-04-23
24,24,24,4.3,28-04-23
25,25,25,4.4,29-04-23
26,26,26,4.0,30-04-23
27,27,27,3.9,01-05-23
28,28,28,4.1,02-05-23
29,29,29,3.5,03-05-23
30,30,30,4.2,04-05-23
31,31,31,4.4,05-05-23
32,32,32,3.8,06-05-23
33,33,33,4.0,07-05-23
34,34,34,3.7,08-05-23
35,35,35,4.2,09-05-23
36,36,36,3.9,10-05-23
37,37,37,4.3,11-05-23
38,38,38,4.1,12-05-23
39,39,39,3.5,13-05-23
40,40,40,4.2,14-05-23
41,41,41,4.4,15-05-23
42,42,42,3.8,16-05-23
43,43,43,4.0,17-05-23
44,44,44,3.7,18-05-23
45,45,45,4.2,19-05-23
46,46,46,3.9,20-05-23
47,47,47,4.3,21-05-23
48,48,48,4.1,22-05-23
49,49,49,3.5,23-05-23
50,50,50,4.2,24-05-23
51,51,51,4.4,25-05-23
52,52,52,3.8,26-05-23
